time,x,y,z
9669,12,264,-5
9678,10,273,-9
9689,12,267,-3
9698,9,271,-11
9708,10,272,1
9718,8,270,-10
9728,9,269,-5
9738,12,268,-1
9748,8,270,-10
9757,4,272,0
9767,9,273,-7
9778,8,273,-8
9787,12,265,-9
9797,7,273,-1
9806,9,269,-9
9817,9,271,-4
9827,13,267,-7
9836,9,271,-10
9846,11,270,-5
9857,9,269,-7
9866,8,271,1
9876,11,267,-10
9885,7,271,-4
9895,11,268,-6
9906,11,271,-5
9915,7,272,2
9925,7,270,-7
9935,8,272,-6
9945,12,267,-8
9955,11,267,-7
9964,14,267,-4
9974,9,268,-11
9985,7,272,-4
9994,11,267,-6
10004,8,269,-6
10014,12,267,-1
10023,11,266,-4
10034,10,269,0
10043,10,270,-3
10053,10,268,-9
10063,9,274,-1
10109,8,267,-5
10113,9,273,-2
10122,9,269,-8
10132,8,267,-4
10142,12,266,-3
10151,9,269,-10
10162,9,269,-3
10172,12,269,-2
10181,12,267,-12
10191,9,269,-6
10201,10,268,-2
10211,10,274,-3
10221,13,269,0
10230,11,269,-7
10241,10,270,-7
10251,12,265,-4
10260,6,271,-1
10270,12,266,-1
10279,9,270,-11
10290,9,270,-4
10300,10,266,-6
10309,7,269,-8
10319,12,271,-3
10330,12,266,-6
10339,9,273,-5
10349,11,270,2
10358,10,271,-6
10369,8,268,-2
10379,14,264,-7
10388,5,272,-3
10398,9,268,-4
10408,7,270,-6
10418,11,272,-3
10428,12,266,-9
10437,11,272,0
10447,11,267,-2
10458,10,271,-5
10467,11,270,-2
10477,8,273,-7
10487,9,271,1
10497,10,269,-11
10507,10,271,0
10516,10,266,-3
10526,7,271,-4
10536,8,269,-3
10546,12,264,-7
10556,7,269,-11
10566,11,270,-2
10575,7,271,-7
10586,7,274,-3
10634,8,267,-6
10635,9,265,-3
10645,9,271,-9
10654,9,270,-4
10664,10,264,-6
10674,8,268,-8
10684,7,273,-3
10694,11,270,-2
10703,11,267,-6
10714,5,270,-2
10724,12,267,-2
10733,7,271,-9
10743,9,270,-3
10753,12,267,-11
10763,7,273,-5
10773,12,265,-7
10782,9,272,-1
10792,11,270,-2
10803,8,270,-8
10812,9,269,-5
10822,13,268,-11
10831,6,269,-6
10842,8,269,-4
10852,10,269,-9
10861,6,272,-4
10871,14,265,-10
10882,9,271,-7
10891,13,264,-6
10901,9,266,-8
10910,12,268,-3
10920,13,268,-6
10931,8,271,-11
10940,11,270,-1
10950,11,267,-7
10960,7,271,-3
10970,12,268,-5
10980,10,270,-9
10990,7,272,-7
10999,12,266,-6
11010,9,269,-8
11019,8,270,-1
11029,9,268,-12
11039,7,273,-5
11048,10,268,-4
11059,8,272,-12
11069,11,269,-5
11078,12,267,-7
11088,8,271,-2
11098,11,266,-7
11108,8,271,-1
11154,9,267,-6
11157,7,271,-7
11167,10,267,0
11176,10,269,-6
11187,7,270,-1
11197,12,265,-6
11206,6,271,-6
11216,10,270,-3
11227,10,270,-8
11236,9,274,-8
11246,13,266,-5
11255,10,270,-10
11266,11,267,-5
11276,10,268,-9
11285,15,267,-3
11295,10,271,-10
11305,9,272,-2
11315,9,272,-6
11325,8,273,-6
11334,12,268,-5
11344,10,269,-9
11355,14,267,-1
11364,11,265,-7
11374,8,270,-4
11384,7,269,-8
11394,8,272,-9
11404,14,264,-11
11413,10,274,-5
11423,9,266,-15
11433,8,272,-6
11443,12,265,-10
11453,11,269,-7
11463,14,269,-2
11472,11,271,-3
11483,9,269,0
11492,9,272,-5
11502,8,272,0
11512,7,271,-7
11522,8,269,-6
11532,12,264,-8
11542,8,271,-3
11551,13,269,-2
11561,8,270,-6
11571,11,267,1
11581,8,271,-8
11591,8,269,-5
11600,12,266,-11
11611,9,272,-9
11621,14,264,-5
11630,9,272,-1
11676,9,267,-3
11679,10,267,-9
11689,12,270,-4
11700,12,265,-10
11709,9,269,-3
11719,13,268,-8
11728,7,270,-4
11739,11,268,-3
11749,8,269,-9
11758,13,264,-2
11768,7,269,-7
11779,11,270,-2
11788,11,266,-8
11798,8,272,-2
11807,12,267,-6
11817,10,268,-15
11828,9,269,-2
11837,11,269,-5
11847,6,271,-10
11857,7,271,-3
11867,9,265,-6
11877,10,273,-5
11886,11,272,-3
11896,9,267,-7
11907,10,269,-6
11916,13,264,-4
11926,12,267,-13
11936,17,263,-2
11945,9,267,-9
11956,12,267,0
11965,9,272,-7
11975,10,272,0
11985,11,267,-6
11995,11,268,-7
12005,11,267,-2
12015,9,268,-7
12024,6,271,1
12035,9,272,-4
12044,9,271,-9
12054,10,268,-5
12064,12,266,-7
12073,12,272,0
12084,9,268,-5
12094,8,275,-6
12103,11,269,-3
12113,9,267,-9
12123,7,268,-1
12133,8,267,-7
12143,8,272,-1
12152,14,265,-2
12198,8,267,-4
12201,7,268,-2
12212,13,266,-6
12222,10,268,-6
12231,11,273,-1
12241,9,269,-10
12252,8,272,-3
12261,10,268,-12
12271,9,272,-7
12281,13,267,-4
12291,10,270,-4
12301,9,273,0
12310,10,267,-4
12320,11,267,-8
12331,10,269,-3
12340,12,265,-4
12350,9,269,-7
12360,11,269,-3
12369,14,268,-6
12380,7,272,-6
12389,12,269,-2
12399,11,272,-4
12409,12,269,-4
12419,10,269,-8
12429,10,270,-3
12439,13,267,-3
12448,8,269,-3
12459,11,268,0
12468,7,272,-6
12478,9,267,-9
12488,12,267,-4
12497,10,268,-9
12508,9,272,1
12518,10,269,-5
12527,7,276,-6
12537,12,270,0
12547,9,269,-5
12557,6,271,-1
12567,15,265,-4
12576,9,270,-7
12587,12,267,-5
12597,14,264,-9
12606,8,271,-4
12616,12,269,-4
12625,11,268,-7
12636,8,272,-4
12646,15,268,-2
12655,9,267,-4
12665,9,270,-4
12676,12,270,-2
12722,8,267,-5
12725,15,265,-2
12734,8,270,-4
12744,12,268,-3
12754,12,266,-12
12764,6,268,-2
12774,11,265,-2
12783,8,271,-8
12793,10,271,-4
12804,12,266,-11
12813,5,273,-8
12823,10,269,-7
12833,7,271,-8
12843,12,267,-2
12853,9,268,-9
12862,7,268,-6
12872,10,268,-4
12882,10,268,-9
12892,7,271,-4
12902,12,268,-8
12912,9,270,-8
12921,8,272,-4
12932,12,264,-6
12941,10,270,-4
12951,14,266,-2
12961,9,271,-8
12971,9,270,-2
12981,11,267,-6
12991,12,268,-9
13000,9,269,1
13010,9,270,-6
13020,9,269,-5
13030,9,269,-7
13040,12,266,-5
13049,9,270,1
13060,8,268,-7
13070,6,273,-2
13079,13,267,-2
13089,12,268,-8
13099,6,267,-2
13109,11,270,-7
13119,13,271,-1
13128,12,267,-2
13138,6,271,-7
13149,9,268,-6
13158,11,267,-10
13168,8,270,-3
13177,14,268,-7
13188,7,273,-5
13198,10,270,-2
13246,8,266,-6
13247,5,269,-9
13256,8,270,-6
13266,10,269,-3
13277,11,268,-12
13286,12,270,-6
13296,12,266,-9
13306,9,271,1
13316,10,268,-2
13326,4,272,-1
13335,12,267,-4
13345,8,268,-10
13356,10,266,-6
13365,10,266,-11
13375,10,275,-5
13385,12,269,0
13394,9,273,-4
